,0,1,2,3,4,5,6,7,8,9,10,11,12
0,3989.2735923521973,-47629.095650680414,-151755.95669015747,1234353.5589802773,3000635.675787712,-5423254.025226845,-11783930.429834912,10008365.952705214,19388886.44809856,-8448690.01599429,-14285605.714609856,2670893.505325376,3921758.8722379957
1,4284.481996190369,-7654.66879159203,-30384.51141393,368722.57002651476,935788.3098746282,-2019628.1821694972,-5101256.500458719,4331418.872824238,10989443.809377475,-4114261.905881596,-10432743.615307081,1443743.4813951484,3640217.762207273
2,2710.33414325432,-11254.94444148612,-4984.4379363818925,185094.64714907747,386612.1146107617,-1004920.0178297366,-2248060.5361321317,2227342.861582926,4932608.255551792,-2170745.8361321823,-4729682.894622572,775397.1568627418,1666250.190478347
3,3983.2222976030553,-57190.09861370518,-90391.45006991661,1631549.3001914325,3136059.680021746,-7018718.980739938,-12277988.253963633,11981888.61025933,18855697.006171104,-8893775.028776025,-12250951.529292623,2342862.5887295506,2687381.650845269
4,7031.039260743708,-97878.76483235288,-328907.4719710037,2177940.4082436906,5833360.805651042,-9671314.454475697,-25128724.998343784,17271538.50391536,47144732.5082595,-13605057.567283655,-40777216.35453615,3918747.746241101,13338169.235489273
5,4812.611259435115,-65517.61784466522,-142962.63836841192,2025204.486337227,4649284.666194888,-9677901.65181914,-21574894.205282982,19142371.649539422,39890712.97064249,-17458808.33765905,-32334710.602425925,6036505.87408699,9567158.598655486
6,1494.5957992403585,-83201.01030145248,24024.82586411569,2331582.364215773,2286904.847695128,-12256370.689195644,-11868672.652017394,25935316.531913146,23556206.312342055,-24217539.763740174,-20649584.999747723,8284637.232859882,6713638.632790109
7,6296.387144017849,-44804.84747785517,-276786.6979766694,895322.4685690736,3742175.0766804544,-3689677.5892143752,-14412741.550311213,6483971.864939904,24727423.906434633,-5039318.174968737,-19458637.294003226,1386796.7190483438,5733908.476739612
8,1264.535046780684,-17850.745832398912,53240.24775253011,533479.3284787306,283782.32642746996,-2837481.1417710735,-3251677.598489824,6065699.429570865,8991230.050141776,-5708100.507514776,-9886855.850698527,1960483.7239818485,3828532.9059027606
9,3084.0123186149617,-15062.431174410904,-27136.486792302043,227282.45904390275,421456.2374576371,-1209469.7342931144,-1729818.446964305,2736500.9395647985,2986580.535703316,-2740183.492880453,-2343920.018242394,1002826.0264958823,690767.0290319457
10,4669.688967130838,-60520.54073093225,-290635.98780882306,1596468.6333843046,5249250.028704373,-8091552.051772036,-22590629.180889472,16613079.432291748,41977415.3136766,-14940660.975311754,-35600806.2372021,4857620.835531895,11327246.157812627
11,1958.382281444442,-53704.36664481111,87138.2431861957,1305582.9289063914,-201557.46396865882,-6515788.24784215,2450450.2619607574,13162913.02262279,-7957070.833658824,-11756906.692328338,9629786.15712388,3836174.8541822904,-3929697.214433726
12,5262.932474383919,-61206.778076406765,-96118.0791390973,2139010.7339910287,4253654.576545632,-10828762.849975238,-19465739.26937353,22111689.906842127,34557483.92129625,-20337872.355597362,-26259044.19907597,6973745.975698318,7085653.36627229
13,5662.3553296360615,-46725.01262350441,-138067.08476888886,1195117.349999888,3287920.3771601776,-5302878.110005362,-14325722.889434151,9797904.320934057,26669768.82955237,-8136707.042216009,-22825332.17356376,2481957.0548492647,7381502.460810977
14,5315.417566513841,-44019.609866222396,-197829.5118553663,888209.1983199252,3185134.004157656,-2948059.262808159,-10802307.310383113,4081594.597666004,15421139.987264767,-2474552.261971289,-9850822.773757327,484428.7191262054,2274743.114661871
15,3121.3584360218856,-36205.22313429004,169109.76986439442,1263899.0584168555,-112349.71864731687,-7030753.892020111,-3470171.343695791,15283355.033282168,10848472.941189576,-14589155.39613341,-11913305.20210692,5118971.410366917,4488751.86546684
16,2998.6167943496102,-17126.745058440494,8076.957905181813,253524.51097446357,308091.8309281978,-1586723.1294618852,-2471537.8314270987,4156137.322530137,6636255.474863507,-4561107.973374969,-7226528.1452235095,1757252.9438915832,2751061.83506111
17,1120.9529445100827,-52910.50527100988,123818.58498773826,1658742.907983422,1014102.7734864602,-7855691.472015114,-5277830.1977163125,14828290.954138272,8355454.856355778,-12329204.294055495,-4998085.267159878,3748440.443962639,872283.1951921001
18,3496.7001088560874,-88470.86272796127,-73645.54613522564,2074757.0735510506,1702329.521373719,-11078174.167866994,-4552041.367827859,24311664.463282745,3791604.0558936484,-23626643.411331695,142651.8030953434,8377480.5654313415,-936423.0804020158
19,6111.869752921448,-98694.60026101969,-148562.03859704957,3154722.5135804233,6166092.361859663,-17014624.4475463,-31820740.181213412,36584438.14331691,64660888.129261084,-34768328.25878108,-57641959.922909364,12153068.562240548,18823193.228906147
20,6213.871574200813,-55944.98827185989,-344674.56589385617,1578845.4507854008,5673007.48467571,-7648404.535110771,-22266496.33567112,15464701.59755581,36538114.895968534,-14000891.173686117,-26238187.43632673,4656392.004022508,6680013.249216525
21,8116.517471789491,-53883.86432806057,-398386.3756892831,1151349.0971523256,6088103.131742296,-3905683.1404715087,-25313368.509328265,4435284.777256773,46733901.50407773,-1490762.3816770045,-39568261.93987825,-147753.5210825355,12526433.267339928
22,3635.250540005392,8050.8983393844,11156.046413530286,146528.89940876167,489059.3539768106,-980166.1638453512,-2948933.741116588,2085067.1202590885,6184970.684905785,-1867129.7633722473,-5582825.918199265,608059.6434098815,1846965.8076266823
